CLASS,LINE_COVERED,LINE_MISSED
TaskRunningStatistics,0,6
JobEventRdbSearch.Condition,0,8
JobEventRdbListener,0,7
JobEventRdbIdentity,0,2
JobEventRdbStorage,0,202
DatabaseType.new Predicate() {...},0,2
JobEventRdbConfiguration,0,5
DatabaseType,0,9
JobEventRdbSearch.Result,0,3
JobEventRdbSearch,0,129
JobCoreConfiguration,0,11
JobCoreConfiguration.Builder,0,25
LiteJobConfiguration.Builder,0,22
LiteJobConfiguration,0,12
ListenerManager,0,22
RegistryCenterConnectionStateListener,0,18
AbstractListenerManager,0,5
AbstractJobListener,0,9
StatisticRdbRepository,0,239
JobEventListenerConfigurationException,0,2
JobEventBus,0,21
AverageAllocationJobShardingStrategy,0,25
OdevitySortByNameJobShardingStrategy,0,6
RotateServerByNameJobShardingStrategy,0,12
Encryption,0,5
FailoverService.FailoverLeaderExecutionCallback,0,11
FailoverNode,0,9
FailoverListenerManager.JobCrashedJobListener,0,16
FailoverListenerManager,0,13
FailoverListenerManager.FailoverSettingsChangedJobListener,0,4
FailoverService,0,43
JobType,0,2
ShardingContext,0,15
JobScheduler,0,56
JobScheduleController,0,43
JobRegistry,0,40
LiteJob,0,5
JobTriggerListener,0,5
JobShutdownHookPlugin,0,12
LiteJobFacade,0,58
SchedulerFacade,0,42
JobRunningStatistics,0,6
JobTypeStatistics,0,4
JobExecutionTypeStatistics,0,3
JobRegisterStatistics,0,6
JobNodeStorage,0,50
JobNodePath,0,10
JobSettingsAPIImpl,0,43
ServerStatisticsAPIImpl,0,32
ShardingStatisticsAPIImpl,0,23
JobStatisticsAPIImpl,0,77
JobAPIFactory,0,6
RegistryCenterFactory,0,15
JobSettings,0,20
JobBriefInfo.JobStatus,0,5
ServerBriefInfo,0,9
JobBriefInfo,0,9
ShardingInfo,0,8
ShardingInfo.ShardingStatus,0,12
ShardingOperateAPIImpl,0,13
JobOperateAPIImpl,0,74
GsonJsonProvider,0,14
RestfulExceptionMapper,0,2
RestfulServer,0,36
RestfulException,0,2
WwwAuthFilter,0,42
SensitiveInfoUtils,0,3
SensitiveInfoUtils.new Function() {...},0,12
DefaultExecutorServiceHandler,0,2
DefaultJobExceptionHandler,0,4
JobExecutionEventThrowable,0,5
JobStatusTraceEvent.Source,0,2
JobExecutionEvent.ExecutionSource,0,2
JobStatusTraceEvent.State,0,2
JobExecutionEvent,0,24
JobStatusTraceEvent,0,14
StatisticInterval,0,6
RegException,0,4
RegExceptionHandler,0,10
MonitorExecutionListenerManager,0,6
ExecutionContextService,0,31
MonitorExecutionListenerManager.MonitorExecutionSettingsChangedJobListener,0,4
ShardingListenerManager,0,10
ShardingListenerManager.ShardingTotalCountChangedJobListener,0,7
ShardingService,0,64
ShardingNode,0,11
ShardingListenerManager.ListenServersChangedJobListener,0,6
ExecutionService,0,63
ShardingService.PersistShardingInfoTransactionExecutionCallback,0,9
BlockUtils,0,7
ExecutorServiceObject,0,10
AbstractJobConfigurationGsonTypeAdapter,0,96
GsonFactory,0,6
ElectionListenerManager,0,10
ElectionListenerManager.LeaderElectionJobListener,0,8
LeaderNode,0,4
ElectionListenerManager.LeaderAbdicationJobListener,0,5
LeaderService,0,20
LeaderService.LeaderElectionExecutionCallback,0,4
AbstractDistributeOnceElasticJobListener,0,53
TimeService,0,2
HostException,0,2
IpUtils,0,28
AbstractElasticJobExecutor.new Runnable() {...},0,4
AbstractElasticJobExecutor,0,97
JobExecutorFactory,0,7
ShardingContexts,0,20
JobProperties,0,13
ExecutorServiceHandlerRegistry,0,6
JobProperties.JobPropertiesEnum,0,10
ShardingItemParameters.ShardingItem,0,1
ShardingItems,0,11
ShardingItemParameters,0,18
ScriptJobConfiguration,0,5
SimpleJobExecutor,0,5
DataflowJobExecutor,0,22
ScriptJobExecutor,0,14
LiteJobConfigurationGsonFactory,0,5
LiteJobConfigurationConstants,0,1
ConfigurationNode,0,4
LiteJobConfigurationGsonFactory.LiteJobConfigurationGsonTypeAdapter,0,42
RescheduleListenerManager.CronSettingAndJobEventChangedJobListener,0,4
ConfigurationService,0,33
RescheduleListenerManager,0,6
MonitorService.new Thread() {...},0,7
MonitorService,0,54
ReconcileService,0,16
TaskContext.MetaInfo,0,8
ExecutionType,0,3
TaskContext.MetaInfo.new Function() {...},0,2
TaskContext,0,31
JobInstance,0,7
JobShardingStrategyFactory,0,8
GuaranteeListenerManager,0,7
GuaranteeNode,0,7
GuaranteeService,0,20
GuaranteeListenerManager.CompletedNodeRemovedJobListener,0,7
GuaranteeListenerManager.StartedNodeRemovedJobListener,0,7
ServerNode,0,7
ServerService,0,21
ServerStatus,0,2
JobConfigurationException,0,4
JobSystemException,0,4
ExceptionUtil,0,6
AppConfigurationException,0,4
JobExecutionEnvironmentException,0,2
JobStatisticException,0,2
DataflowJobConfiguration,0,5
ZookeeperElectionService,0,16
ZookeeperConfiguration,0,10
ZookeeperRegistryCenter,0,126
ZookeeperElectionService.new LeaderSelectorListenerAdapter() {...},0,11
ZookeeperRegistryCenter.new ACLProvider() {...},0,3
ZookeeperRegistryCenter.new Comparator() {...},0,2
InstanceNode,0,8
ShutdownListenerManager,0,8
ShutdownListenerManager.InstanceShutdownStatusJobListener,0,7
TriggerListenerManager.JobTriggerStatusJobListener,0,7
InstanceService,0,19
TriggerListenerManager,0,7
InstanceOperation,0,2
SimpleJobConfiguration,0,4
TaskResultStatistics,0,8
TaskRunningStatistics,0,6
JobEventRdbSearch.Condition,0,8
JobEventRdbListener,0,7
JobEventRdbIdentity,0,2
JobEventRdbStorage,0,202
DatabaseType.new Predicate() {...},0,2
JobEventRdbConfiguration,0,5
DatabaseType,0,9
JobEventRdbSearch.Result,0,3
JobEventRdbSearch,0,129
JobCoreConfiguration,0,11
JobCoreConfiguration.Builder,0,25
LiteJobConfiguration.Builder,0,22
LiteJobConfiguration,0,12
ListenerManager,0,22
RegistryCenterConnectionStateListener,0,18
AbstractListenerManager,0,5
AbstractJobListener,0,9
StatisticRdbRepository,0,239
JobEventListenerConfigurationException,0,2
JobEventBus,0,21
AverageAllocationJobShardingStrategy,0,25
OdevitySortByNameJobShardingStrategy,0,6
RotateServerByNameJobShardingStrategy,0,12
Encryption,0,5
FailoverService.FailoverLeaderExecutionCallback,0,11
FailoverNode,0,9
FailoverListenerManager.JobCrashedJobListener,0,16
FailoverListenerManager,0,13
FailoverListenerManager.FailoverSettingsChangedJobListener,0,4
FailoverService,0,43
JobType,0,2
ShardingContext,0,15
JobScheduler,0,56
JobScheduleController,0,43
JobRegistry,0,40
LiteJob,0,5
JobTriggerListener,0,5
JobShutdownHookPlugin,0,12
LiteJobFacade,0,58
SchedulerFacade,0,42
JobRunningStatistics,0,6
JobTypeStatistics,0,4
JobExecutionTypeStatistics,0,3
JobRegisterStatistics,0,6
JobNodeStorage,0,50
JobNodePath,0,10
